"samples","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_method"
"mgm4715473","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4715474","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4715475","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4715476","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4715477","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4715478","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4715479","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4715480","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4665127","host-associated","terrestrial","animal_host-associated","animal_feces","South Korea","swine AGP",33.455286,126.561612,"unno","illumina"
"mgm4666325","host-associated","terrestrial","animal_host-associated","animal_feces","South Korea","swine AGP",33.455286,126.561612,"unno","illumina"
"mgm4666326","host-associated","terrestrial","animal_host-associated","animal_feces","South Korea","swine AGP",33.455286,126.561612,"unno","illumina"
"mgm4666327","host-associated","terrestrial","animal_host-associated","animal_feces","South Korea","swine AGP",33.455286,126.561612,"unno","illumina"
